type,agent,target,median,A,B,C,D,F
counterpicks,Tracer,Symmetra,3,3,0,1,3,1
counterpicks,Bastion,Symmetra,3,1,0,1,2,0
counterpicks,Hanzo,Symmetra,3,1,0,1,1,1
counterpicks,Junkrat,Symmetra,5,2,2,0,0,0
counterpicks,Mei,Symmetra,5,2,2,0,0,0
counterpicks,Torbjorn,Symmetra,3,1,1,2,1,0
counterpicks,Widowmaker,Symmetra,2,1,0,0,2,0
counterpicks,D.Va,Symmetra,2,0,4,0,3,2
counterpicks,Reinhardt,Symmetra,2,0,2,1,2,2
counterpicks,Roadhog,Symmetra,4,2,2,1,0,0
counterpicks,Winston,Symmetra,5,3,2,0,0,0
counterpicks,Zarya,Symmetra,5,2,1,0,0,0
counterpicks,Ana,Symmetra,3,1,2,2,1,2
counterpicks,Lucio,Symmetra,3,1,1,2,0,1
counterpicks,Mercy,Symmetra,1,0,1,0,1,3
counterpicks,Symmetra,Symmetra,,,,,,
counterpicks,Zenyatta,Symmetra,3,0,0,3,2,0
counterpicks,Genji,Zenyatta,5,4,0,0,2,0
counterpicks,McCree,Zenyatta,5,3,3,0,0,0
counterpicks,Pharah,Zenyatta,4,1,4,1,2,0
counterpicks,Reaper,Zenyatta,4,3,2,1,1,0
counterpicks,Soldier: 76,Zenyatta,5,3,2,0,0,0
counterpicks,Sombra,Zenyatta,5,2,1,0,0,0
counterpicks,Tracer,Zenyatta,5,3,2,0,0,0
counterpicks,Bastion,Zenyatta,2,0,1,0,2,2
counterpicks,Hanzo,Zenyatta,4,1,2,0,0,0
counterpicks,Junkrat,Zenyatta,3,1,1,2,1,0
counterpicks,Mei,Zenyatta,4,1,3,1,0,0
counterpicks,Torbjorn,Zenyatta,4,1,1,0,1,1
counterpicks,Widowmaker,Zenyatta,5,2,1,0,0,0
counterpicks,D.Va,Zenyatta,3,0,3,4,1,0
counterpicks,Reinhardt,Zenyatta,2,0,0,1,2,0
counterpicks,Roadhog,Zenyatta,4,3,1,2,2,0
counterpicks,Winston,Zenyatta,3,0,2,2,2,0
counterpicks,Zarya,Zenyatta,3,1,1,1,2,0
counterpicks,Ana,Zenyatta,5,4,0,1,0,0
counterpicks,Lucio,Zenyatta,3,1,1,1,2,0
counterpicks,Mercy,Zenyatta,1,0,1,0,1,4
counterpicks,Symmetra,Zenyatta,3,1,0,2,1,1
counterpicks,Zenyatta,Zenyatta,,,,,,
